12.88,odejść
11.40,pacjent
8.52,odejście
7.02,od
6.77,siostra
6.18,liczba
5.70,służba
5.13,odchodzić
4.98,chora
4.96,placówka
4.34,chory
4.24,tylko
4.15,miejsce
3.94,godzina
3.79,przy
3.41,strajk
3.03,środa
3.00,dwie
2.97,dane
2.92,szpitalny
2.85,dany
2.85,dana
2.84,polegający
2.77,zdrowie
2.71,cały
2.60,podać się
2.60,podać
2.60,dom
2.55,ministerstwo
2.50,protest
2.46,pielęgniarka
2.44,cztery
2.37,spać
2.36,według
2.32,informacja
2.20,minister
2.14,osoba
2.13,opuszczać się
2.13,opuszczać
2.12,kraj
2.05,forma
2.02,szpital
1.97,sprzęt
1.96,trwać
1.83,po
1.81,apelować
1.74,piątek
1.74,by
1.74,piątka
1.73,letni
1.73,na
1.66,a
1.66,leżeć
1.62,pierwszy
1.62,odbyć się
1.62,odbyć
1.61,dzień
1.60,położna
1.60,także
1.59,swój
1.58,przykład
1.58,nawet
1.58,poniedziałek
1.52,swoje
1.52,mężczyzna
1.52,ze
1.50,potrzeba
1.50,uczestniczyć
1.50,biuro
1.42,dziewięć
1.34,matka
1.34,śpiwór
1.34,wtorek
1.34,kilka
1.34,lekarz
1.34,jeść
1.34,we
1.30,w
1.26,codziennie
1.26,lubić się
1.26,lubić
1.26,lub
1.26,noc
1.26,który
1.26,do
1.24,tenże
1.24,taż
1.24,też
1.24,toż
1.23,nie
1.18,protestować
1.18,dziennikarz
1.18,chcieć
1.18,ponad
1.18,stać się
1.17,mieć
1.17,mieć się
1.11,zawodowy
1.11,jeden
1.10,mieszkaniec
1.10,aby
1.10,stać
1.09,poinformować się
1.09,poinformować
1.08,ono
1.05,on
1.05,jak
1.05,program
1.03,swoja
1.03,ogólnopolski
1.03,przekształcić się
1.03,przypadać
1.03,rodzina
1.03,okupowany
1.03,wasze
1.03,powinien
1.03,wasz
1.03,konkubina
1.03,przekształcić
1.03,pediatryczny
1.02,ona
1.00,i
0.98,proca
0.97,tak
0.97,że
0.95,związek
0.95,struktura
0.95,modlitwa
0.95,dekapitalizacja
0.95,składany
0.95,trzy
0.95,pierwsza
0.95,krajowy
0.95,przytwierdzić
0.95,materac
0.95,półka
0.95,hotelowy
0.95,włączyć się
0.95,domowy
0.95,wolny
0.95,dodać
0.95,teren
0.95,włączyć
0.95,powietrze
0.95,raz
0.95,styczeń
0.95,długoterminowy
0.95,przechodzić
0.93,nadal
0.89,być
0.89,już
0.87,popyt
0.87,lokal
0.87,brać
0.87,właściciel
0.87,dyżur
0.87,zmniejszenie się
0.87,komputer
0.87,stale
0.87,wstać
0.87,następnie
0.87,bardziej
0.87,brać się
0.87,dyrektor
0.87,mniejszy
0.87,wziąć
0.87,bezterminowy
0.87,skorzystać
0.87,spokojnie
0.87,resortowy
0.87,postanowić
0.87,stal
0.87,dolny
0.87,wziąć się
0.87,anioł
0.87,coraz
0.87,odstąpić
0.87,ani
0.87,miał
0.87,cena
0.87,przykuty
0.87,psychiatria
0.87,gospodarstwo
0.87,kurak
0.87,przewlekle
0.87,powrócić
0.87,krzesło
0.87,zmniejszenie
0.87,niemniej
0.87,kuchenny
0.85,kobieta
0.81,powiedzieć
0.79,za
0.79,odmawiać
0.79,palcówka
0.79,wystarczyć
0.79,prostytutka
0.79,jechać
0.79,ochotnik
0.79,zawieszony
0.79,udział
0.79,siadać
0.79,zabieg
0.79,przypominać się
0.79,argumentować
0.79,lis
0.79,rozhuśtać
0.79,koka
0.79,żadna
0.79,intensywny
0.79,jeśli
0.79,żaden
0.79,geriatryczny
0.79,okazać się
0.79,rozhuśtać się
0.79,pański
0.79,również
0.79,prowadzić
0.79,kontynuowany
0.79,pojechać
0.79,przypominać
0.79,usługa
0.79,okazać
0.79,klinika
0.79,obowiązek
0.79,próbować
0.79,dolar
0.79,grafika
0.79,apartament
0.79,stanowisko
0.79,prowadzić się
0.79,królowa
0.79,maleć
0.79,strajkować
0.79,śpiący
0.79,wieś
0.79,szwalnia
0.79,syn
0.79,koc
0.79,koczujący
0.79,leże
0.76,z
0.71,czy
0.71,wolno
0.71,maj
0.71,butla
0.71,transmitowany
0.71,podawać się
0.71,profil
0.71,przedstawiający
0.71,temperatura
0.71,miejski
0.71,zabić
0.71,operacyjny
0.71,wstawać
0.71,podawać
0.71,ochrona
0.71,wasi
0.71,zmienić
0.71,fizjoterapia
0.71,późno
0.71,zmienić się
0.71,przybrać się
0.71,wcześniej
0.71,potwierdzać się
0.71,kanadyjski
0.71,potwierdzać
0.71,trudno
0.71,zaaplikować
0.71,gdzie
0.71,zmierzać
0.71,okoliczny
0.71,przybrać
